,filename,label,class,width,height,xmin,ymin,xmax,ymax
59,21810.png,1,B48,46,90,0,0,46,90
60,32747.png,1,B48,48,98,0,0,48,98
62,11924.png,1,B48,41,83,0,0,41,83
64,52899.png,1,B48,36,72,0,0,36,72
65,53717.png,1,B48,42,71,0,0,42,71
66,1279.png,1,B48,68,172,0,0,68,172
67,16196.png,1,B48,50,104,0,0,50,104
68,24520.png,1,B48,33,68,0,0,33,68
69,15443.png,1,B48,40,74,0,0,40,74
71,14351.png,1,B48,38,67,0,0,38,67
72,16409.png,1,B48,62,122,0,0,62,122
73,53673.png,1,B48,40,66,0,0,40,66
74,57301.png,1,B48,43,88,0,0,43,88
75,623.png,1,B48,63,148,0,0,63,148
77,9445.png,1,B48,46,97,0,0,46,97
78,52165.png,1,B48,34,68,0,0,34,68
79,43773.png,1,B48,39,67,0,0,39,67
81,47455.png,1,B48,51,94,0,0,51,94
82,48196.png,1,B48,51,93,0,0,51,93
83,43790.png,1,B48,39,67,0,0,39,67
84,53286.png,1,B48,43,67,0,0,43,67
85,24761.png,1,B48,33,68,0,0,33,68
86,24363.png,1,B48,33,66,0,0,33,66
87,50862.png,1,B48,52,87,0,0,52,87
89,8976.png,1,B48,48,83,0,0,48,83
90,24999.png,1,B48,33,60,0,0,33,60
91,14901.png,1,B48,39,73,0,0,39,73
92,7151.png,1,B48,60,82,0,0,60,82
94,39820.png,1,B48,40,68,0,0,40,68
95,26874.png,1,B48,33,60,0,0,33,60
96,22745.png,1,B48,42,75,0,0,42,75
97,25511.png,1,B48,34,59,0,0,34,59
98,9413.png,1,B48,44,89,0,0,44,89
99,11879.png,1,B48,42,85,0,0,42,85
100,50994.png,1,B48,49,87,0,0,49,87
101,50051.png,1,B48,52,82,0,0,52,82
103,14565.png,1,B48,38,66,0,0,38,66
104,24690.png,1,B48,33,67,0,0,33,67
105,8079.png,1,B48,47,77,0,0,47,77
106,20443.png,1,B48,41,74,0,0,41,74
107,14111.png,1,B48,41,72,0,0,41,72
110,27070.png,1,B48,39,64,0,0,39,64
111,53466.png,1,B48,49,82,0,0,49,82
112,32332.png,1,B48,54,102,0,0,54,102
113,8212.png,1,B48,46,86,0,0,46,86
114,9088.png,1,B48,41,66,0,0,41,66
115,12160.png,1,B48,39,75,0,0,39,75
116,50206.png,1,B48,57,83,0,0,57,83
117,50305.png,1,B48,62,84,0,0,62,84
118,27274.png,1,B48,43,68,0,0,43,68
119,44227.png,1,B48,40,73,0,0,40,73
121,44018.png,1,B48,41,71,0,0,41,71
122,7993.png,1,B48,50,92,0,0,50,92
123,8226.png,1,B48,44,81,0,0,44,81
125,49932.png,1,B48,49,75,0,0,49,75
126,12410.png,1,B48,44,78,0,0,44,78
127,15116.png,1,B48,35,67,0,0,35,67
128,26911.png,1,B48,34,60,0,0,34,60
129,263.png,1,B48,64,169,0,0,64,169
130,26185.png,1,B48,31,59,0,0,31,59
131,9056.png,1,B48,43,69,0,0,43,69
132,793.png,1,B48,70,166,0,0,70,166
133,7740.png,1,B48,63,104,0,0,63,104
135,53520.png,1,B48,46,74,0,0,46,74
136,48395.png,1,B48,45,90,0,0,45,90
137,15585.png,1,B48,41,73,0,0,41,73
138,26168.png,1,B48,31,57,0,0,31,57
140,36616.png,1,B48,35,67,0,0,35,67
141,25820.png,1,B48,32,57,0,0,32,57
142,20591.png,1,B48,41,76,0,0,41,76
143,61038.png,1,B48,44,81,0,0,44,81
145,14998.png,1,B48,37,73,0,0,37,73
146,53735.png,1,B48,42,70,0,0,42,70
147,24677.png,1,B48,33,66,0,0,33,66
148,16531.png,1,B48,73,143,0,0,73,143
150,42171.png,10,B10,35,61,0,0,35,61
151,32309.png,10,B10,38,76,0,0,38,76
153,8400.png,10,B10,43,101,0,0,43,101
154,36368.png,10,B10,29,56,0,0,29,56
155,21915.png,10,B10,40,62,0,0,40,62
158,18850.png,10,B10,42,77,0,0,42,77
159,35259.png,10,B10,30,58,0,0,30,58
160,22654.png,10,B10,42,63,0,0,42,63
161,37279.png,10,B10,30,59,0,0,30,59
162,11108.png,10,B10,42,75,0,0,42,75
163,43193.png,10,B10,30,57,0,0,30,57
164,43218.png,10,B10,30,56,0,0,30,56
165,60799.png,10,B10,51,110,0,0,51,110
167,39586.png,10,B10,29,56,0,0,29,56
168,44112.png,10,B10,28,58,0,0,28,58
169,14861.png,10,B10,34,61,0,0,34,61
171,43006.png,10,B10,30,57,0,0,30,57
172,15364.png,10,B10,35,63,0,0,35,63
176,19903.png,10,B10,40,63,0,0,40,63
177,42561.png,10,B10,34,59,0,0,34,59
180,29831.png,10,B10,35,60,0,0,35,60
181,50662.png,10,B10,41,64,0,0,41,64
182,54191.png,10,B10,35,66,0,0,35,66
185,22668.png,10,B10,42,63,0,0,42,63
186,46859.png,10,B10,50,93,0,0,50,93
187,18877.png,10,B10,42,77,0,0,42,77
189,8385.png,10,B10,44,103,0,0,44,103
190,2613.png,10,B10,39,93,0,0,39,93
191,32521.png,10,B10,39,75,0,0,39,75
193,23417.png,10,B10,37,69,0,0,37,69
195,19686.png,10,B10,35,71,0,0,35,71
197,33751.png,10,B10,39,74,0,0,39,74
198,33981.png,10,B10,39,72,0,0,39,72
199,15296.png,10,B10,36,68,0,0,36,68
200,50740.png,10,B10,39,64,0,0,39,64
201,2598.png,10,B10,37,88,0,0,37,88
202,33408.png,10,B10,36,68,0,0,36,68
204,23871.png,10,B10,33,68,0,0,33,68
205,22707.png,10,B10,40,63,0,0,40,63
206,28293.png,10,B10,40,68,0,0,40,68
207,34009.png,10,B10,39,72,0,0,39,72
208,28007.png,10,B10,45,75,0,0,45,75
209,38368.png,10,B10,33,62,0,0,33,62
210,8165.png,10,B10,46,94,0,0,46,94
212,43842.png,10,B10,29,60,0,0,29,60
213,34819.png,10,B10,32,61,0,0,32,61
215,28535.png,10,B10,42,67,0,0,42,67
216,46982.png,10,B10,46,97,0,0,46,97
219,28757.png,10,B10,41,64,0,0,41,64
222,21627.png,10,B10,41,74,0,0,41,74
223,28638.png,10,B10,38,58,0,0,38,58
224,24111.png,10,B10,33,64,0,0,33,64
225,29331.png,10,B10,41,75,0,0,41,75
226,50170.png,10,B10,43,72,0,0,43,72
227,23711.png,10,B10,33,66,0,0,33,66
228,62463.png,10,B10,38,69,0,0,38,69
230,57112.png,10,B10,36,63,0,0,36,63
231,14646.png,10,B10,32,58,0,0,32,58
232,18883.png,10,B10,41,76,0,0,41,76
233,37400.png,10,B10,31,61,0,0,31,61
234,38227.png,10,B10,33,63,0,0,33,63
235,56599.png,10,B10,35,68,0,0,35,68
236,9859.png,10,B10,44,87,0,0,44,87
237,15469.png,10,B10,36,68,0,0,36,68
241,2857.png,10,B10,42,76,0,0,42,76
242,62590.png,10,B10,38,67,0,0,38,67
243,21992.png,10,B10,41,70,0,0,41,70
244,28394.png,10,B10,40,65,0,0,40,65
245,60783.png,10,B10,51,108,0,0,51,108
248,44205.png,10,B10,29,60,0,0,29,60
249,60968.png,10,B10,54,101,0,0,54,101
250,42477.png,10,B10,37,67,0,0,37,67
252,44839.png,10,B10,31,58,0,0,31,58
253,41397.png,10,B10,31,65,0,0,31,65
255,11651.png,10,B10,43,66,0,0,43,66
258,26089.png,10,B10,29,56,0,0,29,56
259,52353.png,10,B10,35,69,0,0,35,69
260,33207.png,10,B10,35,64,0,0,35,64
261,32273.png,10,B10,38,77,0,0,38,77
262,42822.png,10,B10,31,60,0,0,31,60
264,46522.png,10,B10,45,72,0,0,45,72
265,35545.png,10,B10,29,55,0,0,29,55
267,34798.png,10,B10,32,62,0,0,32,62
268,33609.png,10,B10,38,72,0,0,38,72
269,24276.png,10,B10,32,63,0,0,32,63
271,45957.png,10,B10,43,67,0,0,43,67
272,45601.png,10,B10,35,56,0,0,35,56
273,23209.png,10,B10,38,68,0,0,38,68
275,55824.png,10,B10,37,68,0,0,37,68
276,22173.png,10,B10,49,68,0,0,49,68
277,6756.png,10,B10,40,62,0,0,40,62
280,50671.png,10,B10,40,64,0,0,40,64
281,9691.png,10,B10,44,83,0,0,44,83
282,21820.png,10,B10,46,70,0,0,46,70
284,14988.png,10,B10,35,64,0,0,35,64
285,11634.png,10,B10,43,66,0,0,43,66
286,41755.png,10,B10,33,61,0,0,33,61
287,18835.png,10,B10,43,78,0,0,43,78
288,2690.png,10,B10,38,97,0,0,38,97
290,45511.png,10,B10,34,56,0,0,34,56
292,50367.png,10,B10,45,63,0,0,45,63
293,8280.png,10,B10,46,110,0,0,46,110
294,28282.png,10,B10,40,68,0,0,40,68
296,45822.png,10,B10,39,60,0,0,39,60
297,28335.png,10,B10,40,65,0,0,40,65
300,22975.png,5,B25,40,86,0,0,40,86
301,34826.png,5,B25,32,60,0,0,32,60
302,55546.png,5,B25,34,66,0,0,34,66
303,29622.png,5,B25,39,57,0,0,39,57
304,58008.png,5,B25,43,95,0,0,43,95
306,30058.png,5,B25,35,54,0,0,35,54
307,36397.png,5,B25,31,50,0,0,31,50
308,9973.png,5,B25,41,91,0,0,41,91
310,37870.png,5,B25,30,56,0,0,30,56
311,11178.png,5,B25,46,83,0,0,46,83
312,32299.png,5,B25,39,86,0,0,39,86
313,9631.png,5,B25,39,85,0,0,39,85
316,54122.png,5,B25,37,56,0,0,37,56
317,32000.png,5,B25,44,85,0,0,44,85
319,30936.png,5,B25,34,61,0,0,34,61
320,32132.png,5,B25,48,105,0,0,48,105
323,55263.png,5,B25,37,78,0,0,37,78
326,22215.png,5,B25,45,96,0,0,45,96
327,21634.png,5,B25,41,63,0,0,41,63
328,61103.png,5,B25,38,67,0,0,38,67
329,61055.png,5,B25,39,67,0,0,39,67
330,55526.png,5,B25,34,66,0,0,34,66
333,57930.png,5,B25,42,91,0,0,42,91
334,11535.png,5,B25,40,77,0,0,40,77
335,22319.png,5,B25,43,91,0,0,43,91
336,46079.png,5,B25,36,55,0,0,36,55
337,55676.png,5,B25,36,68,0,0,36,68
338,7014.png,5,B25,43,105,0,0,43,105
339,6755.png,5,B25,41,84,0,0,41,84
340,33437.png,5,B25,36,71,0,0,36,71
341,22126.png,5,B25,43,90,0,0,43,90
342,686.png,5,B25,70,165,0,0,70,165
343,33546.png,5,B25,36,74,0,0,36,74
344,8324.png,5,B25,45,91,0,0,45,91
345,57793.png,5,B25,41,87,0,0,41,87
347,22515.png,5,B25,39,89,0,0,39,89
348,48660.png,5,B25,38,64,0,0,38,64
349,6899.png,5,B25,44,99,0,0,44,99
350,22056.png,5,B25,47,94,0,0,47,94
352,32075.png,5,B25,49,99,0,0,49,99
353,32044.png,5,B25,50,99,0,0,50,99
355,413.png,5,B25,69,168,0,0,69,168
356,13462.png,5,B25,44,97,0,0,44,97
357,34847.png,5,B25,32,61,0,0,32,61
359,34271.png,5,B25,33,67,0,0,33,67
360,30661.png,5,B25,34,58,0,0,34,58
361,61167.png,5,B25,38,68,0,0,38,68
362,36196.png,5,B25,30,49,0,0,30,49
363,36677.png,5,B25,31,54,0,0,31,54
364,55311.png,5,B25,35,72,0,0,35,72
365,21923.png,5,B25,48,87,0,0,48,87
367,35899.png,5,B25,29,47,0,0,29,47
369,29165.png,5,B25,45,74,0,0,45,74
370,11951.png,5,B25,39,75,0,0,39,75
372,11967.png,5,B25,38,73,0,0,38,73
373,11003.png,5,B25,47,79,0,0,47,79
374,13575.png,5,B25,39,78,0,0,39,78
375,37034.png,5,B25,30,54,0,0,30,54
377,54599.png,5,B25,45,76,0,0,45,76
378,48613.png,5,B25,40,69,0,0,40,69
379,37600.png,5,B25,29,56,0,0,29,56
380,32512.png,5,B25,39,72,0,0,39,72
381,32118.png,5,B25,47,102,0,0,47,102
382,12138.png,5,B25,47,94,0,0,47,94
383,54067.png,5,B25,37,56,0,0,37,56
384,13364.png,5,B25,47,101,0,0,47,101
385,21005.png,5,B25,35,56,0,0,35,56
386,20698.png,5,B25,39,61,0,0,39,61
388,55303.png,5,B25,35,74,0,0,35,74
389,8128.png,5,B25,46,97,0,0,46,97
390,8465.png,5,B25,47,98,0,0,47,98
391,43412.png,5,B25,33,52,0,0,33,52
392,43941.png,5,B25,33,54,0,0,33,54
394,54610.png,5,B25,44,73,0,0,44,73
395,46621.png,5,B25,42,63,0,0,42,63
396,57418.png,5,B25,40,71,0,0,40,71
397,54849.png,5,B25,61,84,0,0,61,84
398,6439.png,5,B25,37,71,0,0,37,71
399,9794.png,5,B25,38,83,0,0,38,83
400,31841.png,5,B25,45,89,0,0,45,89
401,61227.png,5,B25,39,72,0,0,39,72
403,33096.png,5,B25,37,73,0,0,37,73
404,47825.png,5,B25,36,70,0,0,36,70
405,11935.png,5,B25,40,77,0,0,40,77
406,57719.png,5,B25,44,93,0,0,44,93
407,46127.png,5,B25,37,57,0,0,37,57
409,32793.png,5,B25,40,78,0,0,40,78
412,11315.png,5,B25,42,80,0,0,42,80
413,29652.png,5,B25,39,57,0,0,39,57
417,29872.png,5,B25,38,55,0,0,38,55
418,57285.png,5,B25,39,63,0,0,39,63
419,20338.png,5,B25,39,67,0,0,39,67
420,43540.png,5,B25,33,52,0,0,33,52
421,8900.png,5,B25,37,80,0,0,37,80
422,20456.png,5,B25,34,62,0,0,34,62
424,22455.png,5,B25,44,102,0,0,44,102
425,13729.png,5,B25,43,89,0,0,43,89
426,31313.png,5,B25,45,81,0,0,45,81
427,60189.png,5,B25,43,96,0,0,43,96
428,9663.png,5,B25,40,85,0,0,40,85
431,47105.png,5,B25,41,69,0,0,41,69
434,441.png,5,B25,67,160,0,0,67,160
435,21646.png,5,B25,42,65,0,0,42,65
437,9566.png,5,B25,40,85,0,0,40,85
440,34763.png,5,B25,33,63,0,0,33,63
441,21961.png,5,B25,46,82,0,0,46,82
444,13222.png,5,B25,48,90,0,0,48,90
445,12980.png,5,B25,45,97,0,0,45,97
446,8947.png,5,B25,38,81,0,0,38,81
447,48027.png,5,B25,38,81,0,0,38,81
448,8915.png,5,B25,38,81,0,0,38,81
451,26972.png,15,A15,40,70,0,0,40,70
452,17773.png,15,A15,35,61,0,0,35,61
453,14251.png,15,A15,43,78,0,0,43,78
454,24648.png,15,A15,47,84,0,0,47,84
455,12178.png,15,A15,50,96,0,0,50,96
456,12343.png,15,A15,49,88,0,0,49,88
458,24755.png,15,A15,44,81,0,0,44,81
459,12884.png,15,A15,49,95,0,0,49,95
460,35242.png,15,A15,37,67,0,0,37,67
462,29359.png,15,A15,38,94,0,0,38,94
464,56056.png,15,A15,55,98,0,0,55,98
466,30099.png,15,A15,43,79,0,0,43,79
467,50350.png,15,A15,44,98,0,0,44,98
469,44208.png,15,A15,45,74,0,0,45,74
470,50134.png,15,A15,50,95,0,0,50,95
471,18014.png,15,A15,34,62,0,0,34,62
472,24005.png,15,A15,45,86,0,0,45,86
473,45603.png,15,A15,40,77,0,0,40,77
474,50734.png,15,A15,41,87,0,0,41,87
475,43899.png,15,A15,46,74,0,0,46,74
476,45324.png,15,A15,43,72,0,0,43,72
477,32604.png,15,A15,54,85,0,0,54,85
480,45549.png,15,A15,40,75,0,0,40,75
481,17842.png,15,A15,37,65,0,0,37,65
482,47454.png,15,A15,51,96,0,0,51,96
483,27212.png,15,A15,40,74,0,0,40,74
484,11941.png,15,A15,47,84,0,0,47,84
485,24415.png,15,A15,42,72,0,0,42,72
487,34853.png,15,A15,41,71,0,0,41,71
488,28045.png,15,A15,53,96,0,0,53,96
489,23059.png,15,A15,46,85,0,0,46,85
491,23941.png,15,A15,43,79,0,0,43,79
492,26680.png,15,A15,39,68,0,0,39,68
493,3706.png,15,A15,68,126,0,0,68,126
494,39842.png,15,A15,39,67,0,0,39,67
496,14886.png,15,A15,40,78,0,0,40,78
497,25412.png,15,A15,47,69,0,0,47,69
498,49746.png,15,A15,51,97,0,0,51,97
499,53641.png,15,A15,44,96,0,0,44,96
500,35526.png,15,A15,38,66,0,0,38,66
502,14015.png,15,A15,43,76,0,0,43,76
503,24486.png,15,A15,42,75,0,0,42,75
504,23734.png,15,A15,42,83,0,0,42,83
507,24541.png,15,A15,40,68,0,0,40,68
508,12074.png,15,A15,49,88,0,0,49,88
509,23589.png,15,A15,43,85,0,0,43,85
510,53245.png,15,A15,50,84,0,0,50,84
512,44949.png,15,A15,46,70,0,0,46,70
513,30042.png,15,A15,43,81,0,0,43,81
514,52858.png,15,A15,42,84,0,0,42,84
515,48361.png,15,A15,47,88,0,0,47,88
516,26662.png,15,A15,40,69,0,0,40,69
517,16651.png,15,A15,62,170,0,0,62,170
518,14401.png,15,A15,40,73,0,0,40,73
519,25100.png,15,A15,49,76,0,0,49,76
520,50622.png,15,A15,41,91,0,0,41,91
521,52885.png,15,A15,42,83,0,0,42,83
522,52308.png,15,A15,38,74,0,0,38,74
523,26123.png,15,A15,40,71,0,0,40,71
524,16414.png,15,A15,64,140,0,0,64,140
525,13726.png,15,A15,47,85,0,0,47,85
526,7262.png,15,A15,55,104,0,0,55,104
528,45097.png,15,A15,52,72,0,0,52,72
529,28069.png,15,A15,53,91,0,0,53,91
530,23300.png,15,A15,43,82,0,0,43,82
531,13935.png,15,A15,43,80,0,0,43,80
532,55886.png,15,A15,55,86,0,0,55,86
533,52756.png,15,A15,41,80,0,0,41,80
535,56737.png,15,A15,37,75,0,0,37,75
536,32681.png,15,A15,53,90,0,0,53,90
537,49856.png,15,A15,50,95,0,0,50,95
539,11674.png,15,A15,52,101,0,0,52,101
540,53812.png,15,A15,48,85,0,0,48,85
541,49989.png,15,A15,47,94,0,0,47,94
542,3729.png,15,A15,71,127,0,0,71,127
545,50370.png,15,A15,45,99,0,0,45,99
546,8154.png,15,A15,51,107,0,0,51,107
547,53272.png,15,A15,52,95,0,0,52,95
548,53560.png,15,A15,46,91,0,0,46,91
550,53236.png,15,A15,51,86,0,0,51,86
552,25563.png,15,A15,45,69,0,0,45,69
553,11606.png,15,A15,48,86,0,0,48,86
555,25517.png,15,A15,45,71,0,0,45,71
556,14710.png,15,A15,42,82,0,0,42,82
558,56850.png,15,A15,40,80,0,0,40,80
559,25087.png,15,A15,46,72,0,0,46,72
560,27974.png,15,A15,50,92,0,0,50,92
562,50541.png,15,A15,39,92,0,0,39,92
563,29625.png,15,A15,47,87,0,0,47,87
565,45251.png,15,A15,46,73,0,0,46,73
566,29483.png,15,A15,49,99,0,0,49,99
568,11368.png,15,A15,40,92,0,0,40,92
569,24660.png,15,A15,46,81,0,0,46,81
570,26716.png,15,A15,38,66,0,0,38,66
571,18080.png,15,A15,35,64,0,0,35,64
572,30751.png,15,A15,41,80,0,0,41,80
574,53452.png,15,A15,52,91,0,0,52,91
575,50815.png,15,A15,39,81,0,0,39,81
576,24583.png,15,A15,45,79,0,0,45,79
577,56631.png,15,A15,37,77,0,0,37,77
579,52666.png,15,A15,39,77,0,0,39,77
580,50885.png,15,A15,42,91,0,0,42,91
581,13950.png,15,A15,43,76,0,0,43,76
582,22933.png,15,A15,51,90,0,0,51,90
583,56330.png,15,A15,59,119,0,0,59,119
584,50685.png,15,A15,42,91,0,0,42,91
585,7966.png,15,A15,58,117,0,0,58,117
586,50613.png,15,A15,39,88,0,0,39,88
587,53083.png,15,A15,47,84,0,0,47,84
588,46039.png,15,A15,40,79,0,0,40,79
589,7307.png,15,A15,59,107,0,0,59,107
590,29019.png,15,A15,59,100,0,0,59,100
591,53479.png,15,A15,53,99,0,0,53,99
592,23507.png,15,A15,42,81,0,0,42,81
593,49676.png,15,A15,52,95,0,0,52,95
595,45976.png,15,A15,38,76,0,0,38,76
596,43789.png,15,A15,44,69,0,0,44,69
597,26770.png,15,A15,41,71,0,0,41,71
598,26480.png,15,A15,40,69,0,0,40,69
600,57424.png,0,B5,44,77,0,0,44,77
601,7298.png,0,B5,69,106,0,0,69,106
603,15207.png,0,B5,36,75,0,0,36,75
604,51959.png,0,B5,44,75,0,0,44,75
606,22779.png,0,B5,42,77,0,0,42,77
607,7906.png,0,B5,58,114,0,0,58,114
608,26099.png,0,B5,34,66,0,0,34,66
609,37060.png,0,B5,40,71,0,0,40,71
610,10408.png,0,B5,45,95,0,0,45,95
611,21194.png,0,B5,42,91,0,0,42,91
613,29028.png,0,B5,52,99,0,0,52,99
614,54336.png,0,B5,46,79,0,0,46,79
615,39927.png,0,B5,42,80,0,0,42,80
616,60506.png,0,B5,39,89,0,0,39,89
617,39766.png,0,B5,44,75,0,0,44,75
618,55205.png,0,B5,48,106,0,0,48,106
619,37439.png,0,B5,42,84,0,0,42,84
620,55028.png,0,B5,49,99,0,0,49,99
622,62749.png,0,B5,35,66,0,0,35,66
623,10917.png,0,B5,40,67,0,0,40,67
624,7711.png,0,B5,55,112,0,0,55,112
625,39033.png,0,B5,46,76,0,0,46,76
626,60114.png,0,B5,40,102,0,0,40,102
627,61705.png,0,B5,43,102,0,0,43,102
628,42204.png,0,B5,40,84,0,0,40,84
629,39628.png,0,B5,45,77,0,0,45,77
630,41170.png,0,B5,40,76,0,0,40,76
631,31486.png,0,B5,44,77,0,0,44,77
632,21347.png,0,B5,43,91,0,0,43,91
633,32656.png,0,B5,40,72,0,0,40,72
634,29984.png,0,B5,37,71,0,0,37,71
635,43330.png,0,B5,42,65,0,0,42,65
636,37319.png,0,B5,43,78,0,0,43,78
637,62387.png,0,B5,37,70,0,0,37,70
638,42904.png,0,B5,37,68,0,0,37,68
639,34854.png,0,B5,41,77,0,0,41,77
640,11206.png,0,B5,37,69,0,0,37,69
641,34917.png,0,B5,39,74,0,0,39,74
643,42535.png,0,B5,38,72,0,0,38,72
645,41342.png,0,B5,40,76,0,0,40,76
646,44666.png,0,B5,41,75,0,0,41,75
647,8632.png,0,B5,46,96,0,0,46,96
648,55495.png,0,B5,41,78,0,0,41,78
649,35606.png,0,B5,35,63,0,0,35,63
651,26724.png,0,B5,37,67,0,0,37,67
652,44749.png,0,B5,40,77,0,0,40,77
653,30097.png,0,B5,35,66,0,0,35,66
654,41286.png,0,B5,41,78,0,0,41,78
656,62645.png,0,B5,36,69,0,0,36,69
658,10438.png,0,B5,46,97,0,0,46,97
659,38221.png,0,B5,49,83,0,0,49,83
660,6980.png,0,B5,52,97,0,0,52,97
661,36600.png,0,B5,36,65,0,0,36,65
662,39906.png,0,B5,41,77,0,0,41,77
663,43943.png,0,B5,42,71,0,0,42,71
664,31566.png,0,B5,49,83,0,0,49,83
665,34707.png,0,B5,41,74,0,0,41,74
666,55823.png,0,B5,41,78,0,0,41,78
667,24824.png,0,B5,38,69,0,0,38,69
668,54134.png,0,B5,40,70,0,0,40,70
669,32145.png,0,B5,43,89,0,0,43,89
671,31661.png,0,B5,47,89,0,0,47,89
672,60906.png,0,B5,45,115,0,0,45,115
673,9341.png,0,B5,40,113,0,0,40,113
674,489.png,0,B5,57,167,0,0,57,167
675,6197.png,0,B5,36,72,0,0,36,72
677,7512.png,0,B5,43,116,0,0,43,116
678,23079.png,0,B5,43,82,0,0,43,82
679,57787.png,0,B5,49,98,0,0,49,98
680,54589.png,0,B5,46,87,0,0,46,87
681,24225.png,0,B5,37,69,0,0,37,69
683,25477.png,0,B5,36,67,0,0,36,67
684,32545.png,0,B5,39,69,0,0,39,69
685,62158.png,0,B5,36,71,0,0,36,71
686,57650.png,0,B5,46,93,0,0,46,93
687,61339.png,0,B5,37,92,0,0,37,92
688,24784.png,0,B5,40,77,0,0,40,77
689,24433.png,0,B5,41,81,0,0,41,81
690,34206.png,0,B5,40,68,0,0,40,68
692,37800.png,0,B5,47,91,0,0,47,91
694,21483.png,0,B5,46,105,0,0,46,105
695,38642.png,0,B5,47,73,0,0,47,73
696,29947.png,0,B5,37,69,0,0,37,69
697,25235.png,0,B5,36,68,0,0,36,68
698,6210.png,0,B5,36,73,0,0,36,73
699,22644.png,0,B5,40,83,0,0,40,83
701,15669.png,0,B5,40,69,0,0,40,69
702,6452.png,0,B5,39,87,0,0,39,87
703,7088.png,0,B5,58,101,0,0,58,101
704,54068.png,0,B5,38,66,0,0,38,66
706,26688.png,0,B5,36,66,0,0,36,66
707,29668.png,0,B5,40,78,0,0,40,78
708,36449.png,0,B5,38,68,0,0,38,68
709,56828.png,0,B5,39,78,0,0,39,78
710,31518.png,0,B5,45,77,0,0,45,77
711,43073.png,0,B5,36,64,0,0,36,64
713,57138.png,0,B5,37,68,0,0,37,68
714,61428.png,0,B5,40,93,0,0,40,93
715,35744.png,0,B5,36,68,0,0,36,68
716,2649.png,0,B5,52,98,0,0,52,98
717,3541.png,0,B5,61,118,0,0,61,118
719,33705.png,0,B5,46,74,0,0,46,74
720,7633.png,0,B5,51,116,0,0,51,116
722,36006.png,0,B5,37,65,0,0,37,65
723,33667.png,0,B5,46,72,0,0,46,72
724,26417.png,0,B5,34,62,0,0,34,62
725,2554.png,0,B5,51,93,0,0,51,93
726,26778.png,0,B5,37,68,0,0,37,68
728,36753.png,0,B5,36,67,0,0,36,67
729,32421.png,0,B5,41,81,0,0,41,81
730,45577.png,0,B5,44,84,0,0,44,84
731,37566.png,0,B5,43,73,0,0,43,73
732,26020.png,0,B5,35,65,0,0,35,65
733,26347.png,0,B5,35,65,0,0,35,65
735,25161.png,0,B5,37,74,0,0,37,74
737,57480.png,0,B5,49,96,0,0,49,96
738,57410.png,0,B5,45,78,0,0,45,78
739,26331.png,0,B5,35,66,0,0,35,66
740,31898.png,0,B5,41,83,0,0,41,83
741,57277.png,0,B5,40,72,0,0,40,72
742,62869.png,0,B5,35,69,0,0,35,69
743,13256.png,0,B5,40,69,0,0,40,69
745,8521.png,0,B5,48,96,0,0,48,96
747,44476.png,0,B5,45,83,0,0,45,83
748,8225.png,0,B5,50,104,0,0,50,104
749,210.png,0,B5,48,151,0,0,48,151
